Tick, Second, Min, Hour, Day, Month, Year, LP_token1, LP_token0, Trader_token1, Trader_token0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999664894.77, 999999999844.1682, 5500000000044010.0, 4999999999999976.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999664894.77, 999999999844.1682, 5500000000056390.0, 4999999999999970.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999664894.77, 999999999844.1682, 5500000000069905.0, 4999999999999963.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999664894.77, 999999999844.1682, 5500000000088999.0, 4999999999999953.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999664894.77, 999999999844.1682, 5500000000137656.0, 4999999999999929.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999643277.66, 999999999837.1367, 5500000000104379.0, 4999999999999946.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999636906.25, 999999999830.0808, 5500000000075307.0, 4999999999999960.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999634464.45, 999999999828.3195, 5500000000052153.0, 4999999999999971.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999634464.45, 999999999828.3195, 5500000000004055.0, 4999999999999995.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999634464.45, 999999999828.3195, 5499999999968394.0, 5000000000000013.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999634464.45, 999999999828.3195, 5499999999934256.0, 5000000000000030.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999634464.45, 999999999828.3195, 5499999999885866.0, 5000000000000054.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999634464.45, 999999999828.3195, 5499999999901828.0, 5000000000000046.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999629734.98, 999999999824.1211, 5499999999874167.0, 5000000000000060.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999620829.4, 999999999822.317, 5499999999896519.0, 5000000000000049.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999620829.4, 999999999822.317, 5499999999862600.0, 5000000000000065.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999601217.73, 999999999814.6144, 5499999999814097.0, 5000000000000090.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999601217.73, 999999999814.6144, 5499999999799733.0, 5000000000000097.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999601217.73, 999999999814.6144, 5499999999753055.0, 5000000000000120.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999584935.45, 999999999810.3179, 5499999999727629.0, 5000000000000133.0
0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 109999999584935.45, 999999999810.3179, 5499999999756319.0, 5000000000000118.0
1, 86400.0, 1440.0, 24.0, 1.0, 0.03333333333333333, 0.0027397260273972603, 109999999572573.12, 999999999807.8381, 5499999999729243.0, 5000000000000132.0
2, 172800.0, 2880.0, 48.0, 2.0, 0.06666666666666667, 0.005479452054794521, 109999999556326.6, 999999999799.6436, 5499999999703302.0, 5000000000000144.0
3, 259200.0, 4320.0, 72.0, 3.0, 0.1, 0.00821917808219178, 109999999540479.48, 999999999795.5328, 5499999999734883.0, 5000000000000129.0
