,,position_key,liquidity_provider,tick_lower,tick_upper,_liquidity_raw,feeGrowthInside0LastX128,feeGrowthInside1LastX128,tokensOwed0_raw,tokensOwed1_raw
0,0xF000C64CB8F10426fd8484E26c631B2c015671F4_74040_79680,0xF000C64CB8F10426fd8484E26c631B2c015671F4_74040_79680,0xF000C64CB8F10426fd8484E26c631B2c015671F4,74040,79680,18888247242687267000,0,0,0,0
0,0xF000C64CB8F10426fd8484E26c631B2c015671F4_69900_78420,0xF000C64CB8F10426fd8484E26c631B2c015671F4_69900_78420,0xF000C64CB8F10426fd8484E26c631B2c015671F4,69900,78420,92879333148612050000,0,0,0,0
0,0xF000C64CB8F10426fd8484E26c631B2c015671F4_74220_79740,0xF000C64CB8F10426fd8484E26c631B2c015671F4_74220_79740,0xF000C64CB8F10426fd8484E26c631B2c015671F4,74220,79740,247885027632641050000,0,0,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_74340_77220,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_74340_77220,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,74340,77220,554933787986107200000,0,0,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_73440_76560,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_73440_76560,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,73440,76560,237636283176356540000,0,0,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_70680_77160,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_70680_77160,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,70680,77160,122849128095913200000,0,0,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_71520_78840,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_71520_78840,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,71520,78840,99546520607850760000,0,0,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_69300_78120,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_69300_78120,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,69300,78120,63678157907005230000,458777614379548500535238609763005,222060551475853023511175588391444958,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_72360_78240,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_72360_78240,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,72360,78240,374456229123584300000,0,0,0,0
0,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_72060_78840,0x98cC8F9A3B6055C756dF45Ef839648808CC76611_72060_78840,0x98cC8F9A3B6055C756dF45Ef839648808CC76611,72060,78840,8420169393476714000,0,0,0,0
0,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7_72360_78360,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7_72360_78360,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7,72360,78360,335445913751851100000,86320021724699505454244555384664,92965109547348330095444614670644786,0,0
0,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7_69240_76680,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7_69240_76680,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7,69240,76680,142066134102763240000,0,0,0,0
0,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7_68760_77760,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7_68760_77760,0x52bD6B7F2DAbc5910175879b8ACA95F5a1e05cD7,68760,77760,115076550056381240000,0,0,0,0
